Model,Fuel Type,Price,Description,Kilometers Driven,Model Year,Brand,specific_model
FORD ASPIRE Titanium 2016 Single Owner Fully Loaded,,"NRs 1,950,000.00","Ford ASPIRE 2016 Titanium in Brand New condition. SINGLE OWNER, WITH DUAL AIRBAGS, ABs, Steering mount controls, Alloy Wheels, four power windows, Freezing Air-condition and […]",,,,ASPIRE Titanium
Ford Ecosport 2019 16000Km Run FULL OPTION TREND AIRBAGS AND STEERING CTRL Full Service history,,"NRs 3,300,000.00",BRAND NEW CONDITION FORD ECOSPORTS 2019 FULL OPTION(TREND OPTION) with Touch screen display. In Brand new spotless condition with minimal running of only 16000k(Showroom warranty […],,,,Ecosport 16000Km Run FULL OPTION TREND AIRBAGS AND STEERING CTRL Full Service history
Volkswagen Polo 1.2 comfortline 2014,,"NRs 1,950,000.00",Excellent condition Volkswagen Polo 1.2 comfortline (All Four power windows) 2014 dressed in metallic grey. This Vehicle has been fully checked and quality assured. Free […],,,,Polo 1.2 comfortline
Tata Nano 2011 With AC value for money,,"NRs 425,000.00","Excellent condition TATA Nano 2011 with A/C recently refurbished. Drives without problems, an ideal car to keep you away from the monsoon rain. Priced only […]",,,,Nano AC value for money
Volkswagen Vento Trendline 2016 Single Owner 16000 KM,,"NRs 2,500,000.00",Almost BRAND NEW IN CONDITION. Super Luxury GERMAN quality Volkswagen Vento 2016 Trendline Up for Sale. Drives in a Perfectly new condition. Still in its […],,,,Vento Trendline
Hyundai Creta SX ‘O’ 2018 Low Km with Sunroof,,"NRs 4,950,000.00","Immaculate condition Hyundai’s flagship The Creta, Sx ‘O’ 2018 with SunRoof(Fully Loaded SUV Automatic transmission)  Comes with Airbags, ABs, Audio mounted controls, 17 inch Diamond […]",,,,Creta SX ‘O’ Low
FORD ASPIRE Titanium 2017 Single Owner Fully Loaded,,"NRs 1,950,000.00","Ford ASPIRE 2017 Titanium in Excellent condition. SINGLE OWNER, WITH DUAL AIRBAGS, ABs, Steering mount controls, Alloy Wheels, four power windows, Freezing Air-condition and many […]",,,,ASPIRE Titanium
Single Owner Hyundai Venue S 2019 with only 19000 KM,,"NRs 3,350,000.00",Single Owner Hyundai Venue ‘S’2019 in brand new condition. 195mm ground clearance of this quality cross-over CUV is ideal for Nepal’s challenging roads. Safety features […],,,,Venue S only
Suzuki Baleno 2016 Delta with 13000 KM Only,,"NRs 2,400,000.00","Single Owner with only 13000 KM Maruti Suzuki Baleno 2016 is up for SALE. Full Option loaded with (Dual AirBags,ABs,Telephonic Bluetooth,Climate Ctrl, Steering mounted Ctrls) […]",,,,Baleno Delta Only
Volkswagen Polo 1.6 Highline 2015 Quality Certified,,"NRs 2,375,000.00",Volkswagen Polo High-line 2015 New Shape is Up for Sale. Fully Loaded variant with only 40000 KM. Fully inspected and quality fully assured. Tidy interiors […],,,,Polo 1.6 Highline Quality Certified
Maruti Suzuki Baleno 2016 ‘Delta’ Immaculate condition,,"NRs 2,350,000.00","Single Owner Maruti Suzuki Baleno 2016 Full Option loaded with (Dual AirBags,ABs,Telephonic Bluetooth,Climate Ctrl, Steering mounted Ctrls) Dressed in Beautiful Metallic Grey. Excellent re-sell value. […]",,,,Baleno ‘Delta’ Immaculate condition
Hyundai GETZ 2006 with Original Alloys,,"NRs 925,000.00","Excellent quality Hyundai Getz 2006 full option, fully refurbished, in immaculate condition. A quality purchase, free from accidents and problems. Priced reasonably For NRs9,25,000/-(Taking offers […]",,,,GETZ Original Alloys
Honda JAZZ 2016 VMT in Near Brand New condition,,"NRs 2,750,000.00","Single Owner and in super Excellent condition Honda Jazz VMT 2016 (New Shape) dressed in Metallic White, a real head turner (Executive class) quality vehicle. […]",,,,JAZZ VMT in Near condition
Honda City SMT 2009 Single Owner Perfect for your Style,,"NRs 1,750,000.00","Excellent condition Honda City 2010 ivtec with Honda service records, this vehicle drives and feels good as new. Options include, Steering mounted controls, AirBags, and […]",,,,City SMT Perfect for your Style
Volkswagen Polo 1.6 Highline 2014 Not to be Missed 8000 Km Only,,"NRs 2,350,000.00",Brand New Condition Volkswagen Polo High-line 2014 is Up for Sale. Fully Loaded variant with only 8000 KM. Fully inspected and quality fully assured. Tidy […],,,,Polo 1.6 Highline Not to be Missed Only
Daihatsu Terios SX 2008 Immaculate Condition,,"NRs 2,950,000.00","Daihatsu Terios SX 2008, the only Japanese 4WD power performance with in a reasonable price range. It Includes Dual Airbags, ABS, Projected Headlamp, Alloy Wheels, […]",,,,Daihatsu Terios SX Immaculate Condition
Tata Zest XT 2015 REVOTRON Fully Loaded Single Owner,,"NRs 1,750,000.00",Single Owner TATA Zest XT 2015 REVOTRON Fully loaded vehicle at affordable price. Recently Polished to its new condition. Condition good as new. Comes with […],,,,Zest XT REVOTRON
TATA Nano 2012 Quality Vehicle Cheaper then a Motor Bike,,"NRs 400,000.00","Excellent condition TATA Nano 2012 recently refurbished. Drives without problems, an ideal car to keep you away from the monsoon rain. Priced only @NRs4,00,000/-(Cheaper then […]",,,,Nano Quality Vehicle Cheaper then a Motor Bike
2018 DATSUN REDI GO 1000cc in Excellent condition,,"NRs 1,400,000.00","Nissan Datsun Redi-Go 2018 1000 CC free from accidents and problems. Economical cheap best in City Drive class. Ideal first-time buyers’ choice. Priced@NRs14,00,000/(Taking offers) For […]",,,,DATSUN REDI GO 1000cc in Excellent condition
Ford Ecosport 2018 18000 Km Run FULL OPTION Ambiente AIRBAGS AND STEERING CTRL Full Service history,,"NRs 2,650,000.00",BRAND NEW CONDITION FORD ECOSPORTS 2018 FULL OPTION (Ambiente OPTION). In Brand new spotless condition with minimal running of only 20000k(Showroom warranty Included) BARGAIN priced […],,,,Ecosport Run FULL OPTION Ambiente AIRBAGS AND STEERING CTRL Full Service history
Hyundai i20 Asta 2010 Up for Sale,,"NRs 1,650,000.00",Excellent condition Hyundai i20 Asta 2010 free from scratches and problems. Newly polished and touched up to remove all scratches. Quality compared to a new […],,,,i20 Asta Up for Sale
Honda City VMT 2012 Perfect for your Style,,"NRs 2,050,000.00","HONDA CITY 2012 VMT, with 9’ Android multimedia, Alloy wheels, Rear Parking Camera, Dual Airbags, ABS, Steering Audi Controller, Spoiler and …. Newly polished and […]",,,,City VMT Perfect for your Style
FORD FIGO  Excellent condition 2011 Titanium,,"NRs 1,250,000.00","Ford Figo 2011 Full Option (Titanium) in Excellent condition. Dual Airbags, ABS, Bluetooth. No Damages, No Scratches. Test Drive is highly recommended. Come with Tax […]",,,,FIGO Excellent condition Titanium
MARUTI SUZUKI Alto LXI 2016 Single Owner,,"NRs 1,450,000.00","The Alto LXI 2016 is in immaculate condition with just one owner and NO expenses. Equipped with Power Steering, A/C, Front Power windows, Audio system, […]",,,,Alto LXI
HYUNDAI TUCSON 2009 SINGLE OWNER 4WD in Immaculate condition,,"NRs 2,450,000.00","Single Owner HYUNDAI Tucson 2009(GL)4wd in Dual-tone (Grey and Metallic Silver). Free from scratches and problems, fully Tested and Inspected. In original paint condition, tidy […]",,,,TUCSON 4WD in Immaculate condition
Volkswagen Vento Highline 2011 Automatic Gear Excellent condition,,"NRs 2,300,000.00","Luxurious German quality, Excellent condition Auto Gear/Automatic Transmission Volkswagen Vento Highline(TopModel) 2011 in super immaculate condition. Free from accidents and any issues, newly polished and […]",,,,Vento Highline Gear Excellent condition
Single Owner HYUNDAI EON 2013 Immaculate condition,,"NRs 1,275,000.00","Hyundai Eon Era+ 2013 is in excellent condition, free from accidents and problems. Viewing is highly recommended. Single Owner and free from accidents and problems […]",,,,EON Immaculate condition
Volkswagen Vento HighLine 2013 Single Owner 19000 KM,,"NRs 2,275,000.00","Super Luxury Vento Highline from Volkswagen 2013. With only 19000 KM. (With Full Service History). This Vehicle is in Super Excellent Condition, loaded with cream […]",,,,Vento HighLine
Honda Brio SMT 2012 Single Owner,,"NRs 1,550,000.00","The Ultimate city car, with amazing power to weight ratio Honda’s Brio SMT 2012 1.2c Japanese i-vtec engine in super immaculate condition. A fashionable professional […]",,,,Brio SMT
Kia Soul EV 2016 13000 KM With 7 Years Warranty,,"NRs 3,100,000.00","Excellent condition Kia Soul EV 2016 81.4 kW with Leather seats, Heated seats and steering. With a Minimal Running of only 13000km. Grab Yourself a […]",,,,Soul EV 7 Years Warranty
Ford Ecosport 2020 13000Km Run FULL OPTION TREND AIRBAGS AND STEERING CTRL Full Service history,,"NRs 3,400,000.00",BRAND NEW CONDITION FORD ECOSPORTS 2020 FULL OPTION(TREND OPTION) with Touch screen display. In Brand new spotless condition with minimal running of only 13000k(Showroom warranty […],,,,Ecosport 13000Km Run FULL OPTION TREND AIRBAGS AND STEERING CTRL Full Service history
HYUNDAI I20 ACTIVE ‘S’ Full Option 2015 Single Owner,,"NRs 2,750,000.00",Single Owner Hyundai I20 Active ‘S’2015 Asta in excellent condition. 190mm ground clearance of this quality cross-over CUV is ideal for Nepal’s challenging roads. Safety […],,,,I20 ACTIVE ‘S’ Full Option
Single Owner Hyundai Creta E+ 2017 Excellent Condition,,"NRs 3,850,000.00","Single Owner Hyundai Creata E+ 2017, in 100% original condition. Low run without a single scratch or damage. Well looked after and driven with extra […]",,,,Creta E Excellent Condition
Hyundai Tucson GL 2011 Diesel Like you wanted,,"NRs 3,650,000.00",Super Excellent Condition Hyundai Tucson GL 2011 in its Original glory. (Comes with full Hyundai Service History and Guaranteed Original Km run). No Accidents and […],,,,Tucson GL Diesel you wanted
Toyota Hilux Revo 2015 Single Owner With Loaded Accessories.,,"NRs 7,500,000.00","Single Owner TOYOTA HILUX REVO 2015 4X4, the ultimate OFF ROADER blessed with legendary Toyota’s reliability. In mint condition, Newly polished with ACCESSORIES Worth More […]",,,,Hilux Revo Accessories
Single Owner Verna Sx+ Full Service History 2015,,"NRs 2,725,000.00","Single Owner, Hyundai VERNA SX+ (FULL OPTION) With keyless push button start 2015 (Includes full-service history). Newly polished and serviced, fully inspected vehicle. Great value […]",,,,Verna Sx Full Service History
Ecosport 2013 Titanium Auto Gear,,"NRs 2,650,000.00","Single owner and in Immaculate condition, Sporty FORD ECO-SPORT Titanium 2013 (Auto /Manual transmission) loaded with Six(6) Air Bags, Plus many more, Fully featured Titanium […]",,,,Ecosport Titanium Auto Gear
German Built Volkswagen Tiguan 2010 2.0 TSI 4 Motion(AWD) Automatic Fully Loaded,,"NRs 3,850,000.00","German-built, Volkswagen Tiguan 2010 4-Motion(AWD)FULLY LOADED-HIGH-LINE(Panoramic Roof, Leather Seats,8 AirBags, Electric Seats)DSG Automatic transmission. All Orginal Condition. One Quality defining SUV with amazing power and […]",,,,German Built Tiguan 2.0 TSI 4 Motion(AWD
Excellent Condition Nissan Datsun Go 2014 Single Owner,,"NRs 1,400,000.00","Single owner Nissan Datsun-Go 2014 in excellent condition. Free from problems. Priced Now@NRs13,99,000/-(Taking Best Offers) Viewing and a test drive is highly recommended. Baba Basera […]",,,,Excellent Condition Datsun Go
Daihatsu Sirion 2007 with AirBags Excellent condition,,"NRs 850,000.00","Excellent condition Daihatsu Sirion 1000cc 2007 in fairly immaculate condition. Drives in good condition, recently refurbished to showroom condition. Fully painted and polished with dual […]",,,,Daihatsu Sirion AirBags Excellent condition
2018 DATSUN REDI GO 1000cc in Excellent condition,,"NRs 1,400,000.00",Nissan Datsun Redi-Go 2018 1000 CC free from accidents and problems. Economical cheap best in City Drive class. Ideal first-time buyers’ choice. Comes with Single […],,,,DATSUN REDI GO 1000cc in Excellent condition
Hyundai Creta 2016 AUTOMATIC SX ‘O” Wheels IMMACULATE CONDITION FULL SERVICE HISTORY,,"NRs 4,600,000.00","HYUNDAI CRETA SX ‘O’ Automatic Transmission 2016 in immaculate condition. Single Owner, Low run, and comes with Full Hyundai service history. Fully Loaded SX with […]",,,,Creta SX ‘O” Wheels IMMACULATE CONDITION FULL SERVICE HISTORY
Mahindra E2O Plus P4 2020 Perfect City Drive Electric Vehicle with only 3500 KM,,"NRs 2,350,000.00","Single Hand 2020 Year Model Mahindra E2O Plus P4 is Up FOR SALE. This Vehicle is Still under Warranty. Have Done only 3500 Km. ZIPPY, […]",,,,E2O Plus P4 Perfect City Drive Electric Vehicle only
Hyundai Creta Sx Plus 2018,,"NRs 4,600,000.00","Brand New condition Hyundai’s flagship The Creta Sx Plus 2018 is up for SALE.  Comes with Airbags, ABS, Audio mounted controls, Alloy wheels, Navigation.  Touch […]",,,,Creta Sx Plus
ISUZU Hi-Lander 4X4 2020 Low Km,,"NRs 5,090,000.00","Single Handed Isuzu Hi-Lander, 2499 CC diesel power comes with Dual Airbags, 4WD, Steering Ctrls and many more. The Most capable off-roader 4WD blessed with […]",,,,ISUZU Hi-Lander Low
Maruti Suzuki Ecco 5 Seater Van 2017 With only 17000 Km,,"NRs 1,650,000.00",MARUTI SUZUKI VAN 2017 with A/C. This Vehicle is in immaculate condition with no scratches or dents. Still in its Original Color Condition is near […],,,,Ecco 5 Seater Van only
Ford Figo 2013 Lxi Cheap and Best,,"NRs 1,225,000.00",Ford Figo Lxi 2013 up for SALE. This Vehicle is free from accidents and scratches. Newly refurbished to Brand new condition. Very tidy inside and […],,,,Figo Lxi Cheap and Best
Hundai Creta SX ‘O’ 2016 Diesel 2016,,"NRs 4,250,000.00","HYUNDAI CRETA SX ‘O’ Diesel 2016 in immaculate condition. Touch screen display unit, Bluetooth telephonic Audio/Video capability, Climate ctrl, Customized fitted arc leather seats plus […]",,,,Hundai Creta SX ‘O’ Diesel
FORD FIGO Single Owner Excellent condition 2013 Titanium,,"NRs 1,475,000.00","Single-Handed Ford Figo 2013 Full Option (Titanium) in Excellent condition. Comes with Steering Mounted Control, Dual Airbags, ABS, Bluetooth, Alloys wheels. Full-Service History. This Vehicle […]",,,,FIGO Excellent condition Titanium
Kia Rio Sedan 2010 Single Owner only 45000 Km With Service History,,"NRs 1,350,000.00","Single Owner Excellent condition Kia Rio 2010 Full Option, free from problems and accident’s. Fully checked and inspected by our engineers. Drives in excellent condition. […]",,,,Rio Sedan only Service History
Hyundai iGen i20 Asta 34000 km Run Excellent condition 2013,,"NRs 2,100,000.00","Clean and Fresh Hyundai’s Next-Gen i20 Asta Fully loaded 2013, with minimal running of only 34000 Km(Full Service History). Much looked after and driven with […]",,,,iGen i20 Asta Run Excellent condition
Nissan X-Trail NEW SHAPE 4WD Excellent condition Sunroof Fully Loaded,,"NRs 2,650,000.00","Excellent condition Japanese Suv(4WD) NISSAN X-Trail 2008 NEW SHAPE Fully loaded with Sunroof, Dual Electronic motorised seats, HEATED Seats Leather finished, Touch Screen panel, Climate […]",,,,X-Trail 4WD Excellent condition
Ford Ecosport 2016 Ambiente Cheap for it Price,,"NRs 2,250,000.00",Ford Ecosport 2016 Ambiente in super excellent condition Interiors and Exteriors are very clean and new condition. No Accidents no Scratches. Do Not Miss this […],,,,Ecosport Ambiente Cheap for it Price
MG ZS EV (110 KW) 2020 with only 13000 Km with 3 Lakhs worth Charger,,"NRs 4,700,000.00","Stylishly put together inside and out, the MG ZS Electric Vehicle is a strong player in the competitive compact SUV electric market. This electric vehicle […]",,,,MG ZS EV 110 KW only 3 Lakhs worth Charger
Single Owner NISSAN KICKS XV PREMIUM EDITION 2019,,"NRs 4,650,000.00",Single Owner and Nearly Brand new in condition with LOW Run Of 18000Km(+-) Dressed in Metallic Silver in truly original condition you wouldn’t want to […],,,,KICKS XV PREMIUM
Single Owner Ford Figo 2016 24000 Km Not to be MISSED,,"NRs 1,775,000.00","Ford Figo 2016 TREND 24000 KM(Comes with Ford Service records) with in Excellent condition. SINGLE OWNER. A well-maintained Hatchback that is comfortable and stylish, provides […]",,,,Figo Not to be MISSED
2016 DATSUN REDI GO 800cc in Excellent condition,,"NRs 1,250,000.00","Nissan Datsun Redi-go 2016 free from accidents and problems. Comes with Single Airbag. Economical cheap best for City Drive. Ideal first-time buyers’ choice. Priced@NRs12,50,000/(Taking offers) […]",,,,DATSUN REDI GO 800cc in Excellent condition
Suzuki Swift ZXI 2013 Metallic White,,"NRs 2,050,000.00","Suzuki Swift ZXI 2013, Model in immaculate condition. Low Run quality vehicle not to miss out on. Option includes Steering Ctrls, Fog lamps, ZXI Alloys. […]",,,,Swift ZXI Metallic White
Kia Seltos 2020 HTX Brand New Condition,,"NRs 5,690,000.00",BRAND NEW Kia Seltos HTX Manual 2020 with Leather interior and Sunroof(FULLY LOADED TOP MODEL) This Brand new beauty is a fully loaded top variant […],,,,Seltos HTX Condition
German Built Volkswagen Tiguan 41000 Km 2.0 TSI 4 Motion(AWD) Automatic 2015,,"NRs 6,200,000.00","German-built, Volkswagen Tiguan 2015 4-Motion(AWD), 8 AirBags, DSG Automatic transmission. All Orginal Condition. Only one Previous owner low Run(41000k FullService Volkswagen History) One Quality defining […]",,,,German Built Tiguan 2.0 TSI 4 Motion(AWD
HYUNDAI I20 ACTIVE ‘S’ Full Option 2015 Single Owner,,"NRs 2,700,000.00",Hyundai I20 Active ‘S’2015 Asta in excellent condition. 190mm ground clearance of this quality cross-over CUV is ideal for Nepal’s challenging roads. Safety features include […],,,,I20 ACTIVE ‘S’ Full Option
Volkswagen Polo 1.2 comfortline 2011 Not to be Missed 35000 Km,,"NRs 1,550,000.00",Excellent condition Volkswagen Polo 1.2 comfortline (All Four power windows) 2011 dressed in metallic Silver. This Vehicle has been fully checked and quality assured. Free […],,,,Polo 1.2 comfortline Not to be Missed
Hyundai i20 Magna 2010 Quality Buy,,"NRs 1,525,000.00",Excellent condition Hyundai i20 MAGNA 2010 free from scratches and problems. Newly polished and touched up to remove all scratches. Quality compared to a new […],,,,i20 Magna Quality Buy
MARUTI SUZUKI Alto LXI 2016 Single Owner,,"NRs 1,450,000.00","The Alto LXI 2016 is in immaculate condition with just one owner and NO expenses. Equipped with Power Steering, A/C, Front Power windows, Audio system, […]",,,,Alto LXI
"Skoda Fabia Dual Airbags, ABS 2009 only 26000 with Full Service History",,"NRs 1,400,000.00",Skoda Fabia with only 26000 Km comes up with full Service History. A quality buy with safety on mind for your journey. This vehicle comes […],,,,Fabia Dual Airbags ABS only Full Service History
Nissan Ex Saloon 2010 Japanese Made,,"NRs 1,650,000.00","Nissan Ex Saloon2010 in immaculate condition, free from accidents and problems. Japanese-built quality luxury sedan, excellent buy for quality hunters. Not To Miss. Viewing is […]",,,,Ex Saloon Japanese Made
Single Owner Ford Figo 2010 With Only 26000 Km with Full Service History,,"NRs 1,200,000.00",Single Owner Ford Figo 2010 ZXI with only 26000 Km in excellent condition. This Vehicle is free from accidents and scratches. Comes up with full […],,,,Figo Only Full Service History
Mitsubishi Outlander 2016 7 Seater Fully Loaded SUNROOF Single Owner,,"NRs 7,800,000.00","Single Owner and in super Excellent condition Mitsubishi Outlander 2016 4wd dressed in Metallic Grey, a real Executive class quality vehicle. This Quality SUV is […]",,,,Outlander 7 Seater
FORD FIGO 2016 with AirBags New Shape,,"NRs 1,675,000.00","Ford Figo 2016 Ambiente with Dual AirBags,ABS in Excellent condition. A well-maintained Hatchback that is comfortable and stylish, provides excellent mileage and is well-kept. Comes […]",,,,FIGO AirBags
Hyundai Eon Era+ 2012 Best City Car Ever,,"NRs 1,175,000.00","Hyundai Eon Era+ 2012 is in excellent condition, free from accidents and problems. Viewing is highly recommended. Free from accidents and problems Priced@ NRs11,75,000/-(Taking near […]",,,,Eon Era Best City Car Ever
DFSK Glory 580 7-Seater SUV 2019 Single Owner,,"NRs 4,800,000.00","Glory 580 is a very attractive SUV. It has a sports style front design with the Front chromed grille. Moreover, it has a lion-shaped headlamp […]",,,,DFSK Glory 580 7-Seater SUV
HONDA CIVIC Fully Loaded Manual Transmisson Japanese Immaculate condition Don’t Miss,,"NRs 1,750,000.00","In quality condition, Honda Civic 2007 is fully loaded with Sunroof, Climate ctrl, Steering Ctrl. This civic has been customed to sporty leather seats, very […]",,,,CIVIC Manual Transmisson Japanese Immaculate condition Don’t Miss
Suzuki Baleno Alpha 2016 Single Owner,,"NRs 2,600,000.00","Maruti Suzuki Baleno Alpha 2016 Full Option loaded with (Dual AirBags,ABs,Telephonic Bluetooth,Climate Ctrl, Steering mounted Ctrls, auto headlight, Push Start) Dressed in Beautiful Metallic Navy […]",,,,Baleno Alpha
Honda Brio SMT 2013 Single Owner,,"NRs 1,600,000.00","The Ultimate city car, with amazing power to weight ratio Honda’s Brio SMT 2013 1.2c Japanese i-vtec engine in super immaculate condition. A fashionable professional […]",,,,Brio SMT
Toyota Rush Mid MT 2018 Rear Wheel Drive,,"NRs 5,750,000.00","TOYOTA! Designed and built to outperform anything in its class, RUSH is the ultimate machine. Toyota Rush is better suited for rough, pothole-ridden roads. From […]",,,,Rush Mid MT Rear Wheel Drive
Toyota Prado 2014 TX Chrome 4X4 Private Use Single Owner,,"NRs 16,500,000.00",For Sale Immaculate condition Toyota’s flag ship model the Land Cruiser PRADO TX CHROME 2014 model in Beautiful Metallic Grey. A Fully loaded edition 3.0 […],,,,Prado TX Chrome Private Use
Hyundai Verna 2013 SX 19000 km with Service History,,"NRs 2,450,000.00","Single Owner, Hyundai VERNA SX+(FULL OPTION) 2013 in immaculate condition,with only 19000 Km(Includes full-service history). Newly polished and serviced, fully inspected vehicle. Great value for […]",,,,Verna SX Service History
Fiat Aventura Active 2015 Single Owner 26000 Km with Service History,,"NRs 1,750,000.00","Single Owner Excellent condition Fiat Aventura 2015 Active 1.4 in Beautiful Metallic Pearl white. Low run of 26,000 Km With Full Service History. This SUV […]",,,,Fiat Aventura Active Service History
Renault Duster RXZ+ 2016 Single Owner 35000 Km with service history,,"NRs 3,600,000.00",The Ultimate OFF ROADING experience in (Auto transmission) Fully loaded version with modified off road wheels(Upgraded). Capable of driving you to extreme remote areas and […],,,,Duster RXZ service history
Hyundai Accent 2008 Single Owner Low Km Original Paint.,,"NRs 1,275,000.00","Single owner-HYUNDAI ACCENT 2008 Family Sedan, Full option, genuine km, Original Paint, in immaculate condition. Fully Service History and newly polished. Excellent re-sell market value. […]",,,,Accent Low Original Paint
Hyundai Kona EV (100 KW) 2019 with only 5000 Km,,"NRs 4,650,000.00","Stylishly put together inside and out, the Hyundai Kona is a strong player in the competitive compact SUV electric market. This electric vehicle feels light […]",,,,Kona EV 100 KW only
Hyundai Creta SX+ 2019 with only 3000 Km.,,"NRs 4,900,000.00","Brand New condition Hyundai’s flagship The Creta, Sx Plus 2019 with only 3000 KM.  Comes with Airbags, ABs, Audio mounted controls, Alloy wheels, Navigation(India only), […]",,,,Creta SX only
Honda City VXMT 2014 with Sunroof,,"NRs 2,950,000.00","HONDA CITY 2014 SUNROOF VXMT(Fully Loaded) Single owner Honda City VXMT 2014, fully Loaded with Sunroof, Cruise ctrl, and many more.. Top trim model loaded with: Keyless […]",,,,City VXMT
Single Owner SKODA Rapid Ambition 2014 Full Service History,,"NRs 2,150,000.00","Single Owner SKODA Rapid(VOLKSWAGEN GROUP COMPANY) 2014 FULL OPTION. Comes with company service records. One Quality drive you truly will enjoy, in every corners,sharp bends. […]",,,,Rapid Ambition Full Service History
Jeep Compass Limited Plus 4×4 Diesel with with Panoramic Sun-Roof only 12000 Km,,"NRs 9,500,000.00",Jeep Compass Limited Plus 4×4 2.0L MultiJet Turbo Diesel with Panoramic Sun-Roof is up for SALE. With only 12000 Km done till date. Immaculate inside/out. […],,,,Jeep Compass Limited Plus 4×4 Diesel Panoramic Sun-Roof only
Maruti Suzuki Swift ZXI 2013,,"NRs 2,050,000.00","Suzuki Swift ZXI 2013, Model in immaculate condition. Low Run quality vehicle not to miss out on. Option includes Steering Ctrls, Fog lamps, ZXI Alloys. […]",,,,Swift ZXI
Ford Ecosport Titanium 2018 Single Owner,,"NRs 3,250,000.00","BRAND NEW CONDITION FORD ECOSPORT 2018 FULL OPTION(Titanium) with Touch screen display, Keyless Entry, Push Start. In near Brand new condition. Minimal running of only […]",,,,Ecosport Titanium
Hyundai Santro Sportz 2019 Single Owner 16000 KM,,"NRs 2,400,000.00",Single Owner Hyundai Santro Sportz 2019 in much looked after condition. Have done only 16000 Km (Full-Service History) Quality and inspection fully carried out. Free […],,,,Santro Sportz
Volkswagen Vento TDI 2014 Highline Single Hand,,"NRs 2,200,000.00","Luxurious German quality, Excellent condition Volkswagen Vento Highline TDI (TopModel) 2014 in super immaculate condition. Free from accidents and any issues, newly polished and condition […]",,,,Vento TDI Highline Hand
Hyundai Grand,,"NRs 2,075,000.00","Hyundai Grand i10 Magna Single Owner2015 Free from accidents and problems, in immaculate condition. A Much looked after vehicle by its previous owners. * Quality […]",,,,Grand
Hyundai i20 Asta 2010 Single Owner,,"NRs 1,675,000.00","Single Owner, Excellent condition Hyundai i20 ASTA 2010 free from scratches and problems. Newly polished and touched up to remove all scratches. Quality compared to […]",,,,i20 Asta
2016 DATSUN REDI GO 800cc in Excellent condition,,"NRs 1,250,000.00","Nissan Datsun Redi-go 2016 free from accidents and problems. Economical cheap best in City Drive class. Ideal first-time buyers’ choice. Priced@NRs12,50,000/(Taking offers) For Test Drive […]",,,,DATSUN REDI GO 800cc in Excellent condition
BRAND NEW condition Skoda Rapid Rider 1.0 Tsi 2020,,"NRs 3,099,000.00",The Skoda Rapid Rider 1.0 Tsi Mt is in showroom condition. It comes with complete service history and coupons for free service. 10000 KM RUN. […],,,,condition Rapid Rider 1.0 Tsi
Nissan TIIDA JAPANESE MADE 2008,,"NRs 1,250,000.00",Nissan TIIDA JAPANESE MADE perfect sedan for the City Drive. Quality at 100%. Interior and Exterior in Mint condition. Value for Money. 2008 Year Model. […],,,,TIIDA JAPANESE MADE
Great Wall POER 2021 2.0 with 4WD only 6000 KM,,"NRs 5,950,000.00",Great Wall POER 2021 2.0 with 4WD only 6000 KM. This New Pickup Truck From GWM (Great Wall Motors) POER is a Game Changer. This […],,,,Great Wall POER 2.0 4WD only
Single Owner Zen Estilo 2010 Vxi like New,,"NRs 1,150,000.00","Single owner Maruti Suzuki ZEN 2010 VXI, Full option VXI variant in an excellent driving condition. In original factory condition. Nothing to spend on. Comes […]",,,,Zen Estilo Vxi
Volkswagen Vento Highline 2011 Automatic Gear with only 35000 KM,,"NRs 2,350,000.00","Luxurious German quality, Excellent condition Auto Gear/Automatic Transmission Volkswagen Vento Highline(TopModel) 2011 in super immaculate condition. Free from accidents and any issues, newly polished and […]",,,,Vento Highline Gear only
New Shape Xcent SX 2017 with only 11000 KM,,"NRs 2,475,000.00","Hyundai Xcent SX 2017 (New Shape), with full Hyundai service history and all original metallic factory paint. Single owner with only 11000 KM and condition […]",,,,Xcent SX only
Nissan Sunny Supersaloon 2015 Full Option,,"NRs 2,150,000.00",Nissan Supersaloon Luxury family sedan full option in quality condition. A true example of luxury at its best. * Year of manufacturer 2015. * Top […],,,,Sunny Supersaloon Full Option
VOLKSWAGEN 2019 HIGH LINE 1600cc Excellent driving condition,,"NRs 2,875,000.00",Excellent condition Volkswagen Polo High-line 2019 Fully Loaded variant in condition good as new. Fully inspected and quality fully assured. Tidy interiors and no scratches […],,,,HIGH LINE 1600cc Excellent driving condition
MARUTI SUZUKI Alto LXI 2016 Single Owner,,"NRs 1,450,000.00","The Alto LXI 2016 is in immaculate condition with just one owner and NO expenses. Equipped with Power Steering, A/C, Front Power windows, Audio system, […]",,,,Alto LXI
Volkswagen Cross Polo 1.6 Highline 2015 SINGLE OWNER Low Run 18k Only,,"NRs 2,399,000.00","Volkswagen Cross Polo 1.6cc 2015 High-line(Top Model) Two OWNERs in Excellent condition, with a minimal running of 18000 KM only, with a full-service history. Free […]",,,,Cross Polo 1.6 Highline Low Run 18k Only
