Model,Fuel Type,Price,Description,Kilometers Driven,Model Year,Brand,Year
2019 Nissan Kicks Xv Premium,Automatic,"NRP4,650,000.00",,,,,2019
2008 Nissan X Trail,Automatic,"NRP2,650,000.00",,,,,2008
2007 Nissan Tiida Japanese,Automatic,"NRP1,200,000.00",,,,,2007
2019 Nissan Kicks Xv Premium,Automatic,"NRP4,550,000.00",,,,,2019
2022 Nissan Magnite Xe,Automatic,"NRP2,750,000.00",,,,,2022
2016 Nissan Datsun,Automatic,"NRP1,375,000.00",,,,,2016
2016 Ford Ecosport,Automatic,"NRP2,425,000.00",,,,,2016
2014 Ford Ecosport,Automatic,"NRP2,425,000.00",,,,,2014
2012 Ford Figo Titanium,Automatic,"NRP1,990,000.00",,,,,2012
2015 Ford Ecosport,Automatic,"NRP2,775,000.00",,,,,2015
2013 Ford Titanium,Automatic,"NRP2,525,000.00",,,,,2013
2015 Ford Ecosport,Automatic,"NRP2,425,000.00",,,,,2015
2014 Ford Titanium,Automatic,"NRP1,525,000.00",,,,,2014
2016 Ford Ecosport,Automatic,"NRP2,825,000.00",,,,,2016
2013 Ford Figo Titanium,Automatic,"NRP1,450,000.00",,,,,2013
2013 Ford Figo Titanium,Automatic,"NRP1,350,000.00",,,,,2013
2016 Ford Figo Titanium,Automatic,"NRP1,775,000.00",,,,,2016
2018 Ford Edge Sport,Automatic,"NRP3,399,000.00",,,,,2018
2019 Ford Ecosport,Automatic,"NRP3,499,000.00",,,,,2019
2018 Ford Titanium,Automatic,"NRP3,250,000.00",,,,,2018
2016 Ford Figo Titanium,Automatic,"NRP1,675,000.00",,,,,2016
2010 Ford Figo Titanium,Automatic,"NRP1,200,000.00",,,,,2010
2016 Ford Figo Titanium,Automatic,"NRP1,775,000.00",,,,,2016
2016 Ford Ecosport,Automatic,"NRP2,250,000.00",,,,,2016
2013 Ford Figo Titanium,Automatic,"NRP1,475,000.00",,,,,2013
2013 Ford Figo Titanium,Automatic,"NRP1,225,000.00",,,,,2013
2013 Ford Titanium,Automatic,"NRP2,650,000.00",,,,,2013
2020 Ford Ecosport,Automatic,"NRP3,400,000.00",,,,,2020
2011 Ford Figo Titanium,Automatic,"NRP1,250,000.00",,,,,2011
2018 Ford Ecosport,Automatic,"NRP2,650,000.00",,,,,2018
2017 Ford Aspire Titanium,Automatic,"NRP1,950,000.00",,,,,2017
2019 Ford Ecosport,Automatic,"NRP3,300,000.00",,,,,2019
2016 Ford Aspire Titanium,Automatic,"NRP1,950,000.00",,,,,2016
2016 Ford Ecosport,Automatic,"NRP2,650,000.00",,,,,2016
2020 Hyundai Creta Sx,Automatic,"NRP5,800,000.00",,,,,2020
2016 Hyundai Creta Sx,Automatic,"NRP4,400,000.00",,,,,2016
2016 Hyundai I10,Automatic,"NRP2,650,000.00",,,,,2016
2015 Hyundai Eon Magna,Automatic,"NRP1,550,000.00",,,,,2015
2015 Hyundai I20,Tiptronic,"NRP2,650,000.00",,,,,2015
2010 Volkswagen Polo,Tiptronic,"NRP1,450,000.00",,,,,2010
2015 Volkswagen Polo,Tiptronic,"NRP2,550,000.00",,,,,2015
2011 Volkswagen Polo,Tiptronic,"NRP1,650,000.00",,,,,2011
2015 Volkswagen Jetta,Tiptronic,"NRP4,100,000.00",,,,,2015
2017 Volkswagen Polo,Tiptronic,"NRP2,799,000.00",,,,,2017
2013 Volkswagen Polo,Tiptronic,"NRP2,075,000.00",,,,,2013
2010 Volkswagen Tiguan,Automatic,"NRP4,200,000.00",,,,,2010
2014 Volkswagen Polo,Tiptronic,"NRP2,075,000.00",,,,,2014
2013 Volkswagen Taigun Concept,Tiptronic,"NRP6,200,000.00",,,,,2013
2015 Volkswagen Polo,Tiptronic,"NRP239,000.00",,,,,2015
2016 Volkswagen Polo,Tiptronic,"NRP2,599,000.00",,,,,2016
